SongUniqueCode,language,Genre,Rating
691_Hun-09-76629,0102.cfg,Endless,5
691_Hun-09-76354,0102.cfg,Endless,5
691_Hun-09-76621,0102.cfg,Endless,4
691_Hun-09-76622,0102.cfg,Endless,4
691_Hun-09-76352,0102.cfg,Endless,4
691_Hun-09-76356,0102.cfg,Endless,4
691_Hun-09-76623,0102.cfg,Endless,3
691_Hun-09-76625,0102.cfg,Endless,3
691_Hun-09-76628,0102.cfg,Endless,3
691_Hun-09-76351,0102.cfg,Endless,3
691_Hun-09-76353,0102.cfg,Endless,3
691_Hun-09-76357,0102.cfg,Endless,3
691_Hun-09-76358,0102.cfg,Endless,3
